Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-06-16 00:00:00+05:30,23923.900390625,24002.599609375,23888.19921875,23989.150390625,327300,0.0,0.0
2026-06-17 00:00:00+05:30,24044.5,24108.19921875,23969.69921875,24085.69921875,352700,0.0,0.0
2026-06-18 00:00:00+05:30,24073.80078125,24189.25,24036.94921875,24168.0,340000,0.0,0.0
2026-06-19 00:00:00+05:30,23991.19921875,24047.19921875,23901.900390625,24013.099609375,447900,0.0,0.0
2026-06-22 00:00:00+05:30,24106.599609375,24168.05078125,24073.150390625,24102.900390625,252800,0.0,0.0
2026-06-23 00:00:00+05:30,24071.30078125,24135.5,23784.94921875,23824.099609375,340100,0.0,0.0
2026-06-24 00:00:00+05:30,23795.80078125,24090.05078125,23789.25,24021.650390625,395600,0.0,0.0
2026-06-25 00:00:00+05:30,24125.849609375,24261.599609375,24039.0,24056.0,448800,0.0,0.0
2026-06-29 00:00:00+05:30,24061.75,24120.0,23924.55078125,23946.25,588500,0.0,0.0
2026-06-30 00:00:00+05:30,24032.05078125,24035.55078125,23829.19921875,23865.75,449000,0.0,0.0
2026-07-01 00:00:00+05:30,23897.650390625,24049.900390625,23895.099609375,24005.849609375,352100,0.0,0.0
2026-07-02 00:00:00+05:30,24062.19921875,24194.55078125,24058.80078125,24175.69921875,372900,0.0,0.0
2026-07-03 00:00:00+05:30,24375.650390625,24378.150390625,24252.349609375,24270.849609375,326600,0.0,0.0
2026-07-06 00:00:00+05:30,24306.849609375,24458.650390625,24287.099609375,24430.349609375,329400,0.0,0.0
2026-07-07 00:00:00+05:30,24464.44921875,24530.900390625,24348.94921875,24398.69921875,412600,0.0,0.0
2026-07-08 00:00:00+05:30,24259.55078125,24300.0,23805.19921875,23882.05078125,420500,0.0,0.0
2026-07-09 00:00:00+05:30,23928.94921875,24134.69921875,23925.69921875,23962.80078125,384800,0.0,0.0
2026-07-10 00:00:00+05:30,24124.69921875,24228.44921875,24120.349609375,24206.900390625,313100,0.0,0.0
2026-07-13 00:00:00+05:30,24039.400390625,24259.80078125,24000.19921875,24211.0,322700,0.0,0.0
2026-07-14 00:00:00+05:30,24068.0,24157.099609375,24023.69921875,24052.05078125,355800,0.0,0.0
2026-07-15 00:00:00+05:30,24085.849609375,24220.349609375,24010.55078125,24078.5,306900,0.0,0.0
2026-07-16 00:00:00+05:30,24142.099609375,24186.5,24050.0,24072.75,264300,0.0,0.0
2026-07-17 00:00:00+05:30,24127.599609375,24367.30078125,24099.05078125,24334.30078125,387800,0.0,0.0
2026-07-20 00:00:00+05:30,24190.05078125,24266.099609375,24135.849609375,24238.5,353100,0.0,0.0
2026-07-21 00:00:00+05:30,24216.05078125,24262.19921875,24135.650390625,24187.69921875,315600,0.0,0.0
2026-07-22 00:00:00+05:30,24150.44921875,24166.30078125,23961.400390625,23996.25,304700,0.0,0.0
2026-07-23 00:00:00+05:30,23904.80078125,23990.75,23807.19921875,23869.599609375,344000,0.0,0.0
2026-07-24 00:00:00+05:30,23666.349609375,23823.599609375,23606.30078125,23767.44921875,333900,0.0,0.0
2026-07-27 00:00:00+05:30,23928.400390625,24011.599609375,23891.55078125,23995.94921875,319400,0.0,0.0
2026-07-28 00:00:00+05:30,23971.25,24041.150390625,23954.599609375,23985.349609375,437800,0.0,0.0
2026-07-29 00:00:00+05:30,24176.650390625,24283.55078125,24136.75,24250.19921875,424200,0.0,0.0
2026-07-30 00:00:00+05:30,24249.55078125,24342.94921875,24187.099609375,24317.150390625,400600,0.0,0.0
2026-07-31 00:00:00+05:30,24361.44921875,24429.400390625,24299.69921875,24383.599609375,411700,0.0,0.0
2026-08-03 00:00:00+05:30,24572.69921875,24774.30078125,24515.150390625,24774.30078125,342300,0.0,0.0
2026-08-04 00:00:00+05:30,24703.900390625,24703.900390625,24427.94921875,24614.900390625,296500,0.0,0.0
2026-08-05 00:00:00+05:30,24669.19921875,24677.599609375,24497.94921875,24624.650390625,355500,0.0,0.0
2026-08-06 00:00:00+05:30,24641.0,24677.05078125,24604.150390625,24636.0,344000,0.0,0.0
2026-08-07 00:00:00+05:30,24538.900390625,24630.400390625,24522.75,24570.650390625,254800,0.0,0.0
2026-08-10 00:00:00+05:30,24581.25,24620.94921875,24511.099609375,24583.80078125,269500,0.0,0.0
2026-08-11 00:00:00+05:30,24575.099609375,24576.849609375,24429.25,24471.69921875,271800,0.0,0.0
2026-08-12 00:00:00+05:30,24472.44921875,24473.30078125,24265.94921875,24435.94921875,317600,0.0,0.0
2026-08-13 00:00:00+05:30,24431.599609375,24431.599609375,24311.400390625,24395.849609375,295800,0.0,0.0
2026-08-14 00:00:00+05:30,24361.900390625,24405.19921875,24296.80078125,24366.0,267700,0.0,0.0
2026-08-17 00:00:00+05:30,24343.44921875,24360.099609375,24226.94921875,24287.650390625,225400,0.0,0.0
2026-08-18 00:00:00+05:30,24223.849609375,24269.650390625,24154.900390625,24154.900390625,227000,0.0,0.0
2026-08-19 00:00:00+05:30,24152.05078125,24172.849609375,24025.650390625,24078.30078125,0,0.0,0.0
